NP,Nombre del Programa,Nombre del Punto,Estado,Municipio,Colonia,Dirección,latitud,longitud,Materiales
1,Acopio Móvil,Parque Dr. Luis Guevara Camacho,Oaxaca,Heroica Ciudad de Huajuapan de León,Del Carmen,Jerusalén,17.795464,-97.786795,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
2,Acopio Móvil,"Colonia Centro, San Andres Dinicuiti",Oaxaca,San Andrés Dinicuiti,Centro,Miguel Hidalgo,17.688798,-97.726693,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
3,Acopio Móvil,Santiago Cacaloxtepec,Oaxaca,Santiago Cacaloxtepec,Centro,Reforma,17.721161,97.742058,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
4,Acopio Móvil,Santa María Camotlán,Oaxaca,Santa María Camotlán,Centro,Antonio de León,17.897685,-97.692843,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
5,Acopio Móvil,Cerca de Parque Municipal,Oaxaca,Villa de Tamazulapan del Progreso,Centro,Avenida principal,17.672062,-97.573317,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
6,Acopio Móvil,San Jose Ayuquila,Oaxaca,San Jose Ayuquila,Centro,Hidalgo,17.943719,-97.969061,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
7,Acopio Móvil,Santa Catarina,Oaxaca,Santiago Ayuquililla,Centro,Benito Juárez,17.955576,-98.011498,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
8,Acopio Móvil,Col. Guadalupe,Oaxaca,Heroica Ciudad de Huajuapan de León,Guadalupe,Guadalupe Victoria,17.808887,-97.7836,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
9,Acopio Móvil,Parque Fovissste,Oaxaca,Heroica Ciudad de Huajuapan de León,Fovissste,C. 15,17.82688,-97.781314,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
10,Acopio Móvil,Santiago Chilixtlahuaca ,Oaxaca,Heroica Ciudad de Huajuapan de León,Barrio de Guadalupe,Matamoros,17.905328,-97.895191,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
11,Acopio Móvil,Col. Reforma,Oaxaca,Heroica Ciudad de Huajuapan de León,Reforma,Av. Ermita,17.822826,-97.784944,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
12,Acopio Móvil,Tejaltitlán,Oaxaca,San Jerónimo Silacayoapilla,Tejaltitlán,Flores,17.79919,-97.842656,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
13,Acopio Móvil,Cerca de la Iglesia san Diego de Alcalá,Oaxaca,Heroica Ciudad de Huajuapan de León,Santa María Xochixtlapilco,,17.780684,-97.787974,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
14,Acopio Móvil,Col. Santa Rosa 2da Sección,Oaxaca,Heroica Ciudad de Huajuapan de León,Santa Rosa 2da Sección,,17.82447,-97.778815,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
15,Acopio Móvil,Cerca del Parque Municipal ,Oaxaca,Santiago Ayuquililla,Centro,Porfirio Díaz,17.934752,-97.958497,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
16,Acopio Móvil,Antorcha Popular,Oaxaca,Heroica Ciudad de Huajuapan de León,San Miguel,Calle Aquiles Córdoba,17.830119,-97.790076,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
17,Acopio Móvil,Arroyo Chahue,Oaxaca,Santa María Huatulco,Arroyo Chahue,Bahía Maguey,15.77151,-96.141587,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
