NP,,Nombre,Estado,municipio,Colonia,Dirección,latitud,longitud
1,MIGUEL,Parque Dr. Luis Guevara Camacho,Oaxaca,Huajuapan de León,Del Carmen,Jerusalén,17.795464,-97.786795
2,MIGUEL,"Colonia Centro, San Andres Dinicuiti",Oaxaca,San Andrés Dinicuiti,Centro,Miguel Hidalgo,17.688798,-97.726693
3,MIGUEL,Santiago Cacaloxtepec,Oaxaca,Santiago Cacaloxtepec,Centro,Reforma,17.721161,97.742058
4,MIGUEL,Santa María Camotlán,Oaxaca,Santa María Camotlán,Centro,Antonio de León,17.897685,-97.692843
5,MIGUEL,Cerca de Parque Municipal,Oaxaca,Villa de Tamazulapan del Progreso,Centro,Avenida principal,17.672062,-97.573317
6,MIGUEL,San Jose Ayuquila,Oaxaca,San Jose Ayuquila,Centro,Hidalgo,17.943719,-97.969061
7,MIGUEL,Santa Catarina,Oaxaca,Santa Catarina,Centro,Benito Juárez,17.955576,-98.011498
8,MIGUEL,Col. Guadalupe,Oaxaca,Huajuapan de León,Guadalupe,Guadalupe Victoria,17.808887,-97.7836
9,MIGUEL,Parque Fovissste,Oaxaca,Huajuapan de León,Fovissste,C. 15,17.82688,-97.781314
10,MIGUEL,Santiago Chilixtlahuaca ,Oaxaca,Huajuapan de León,Barrio de Guadalupe,Matamoros,17.905328,-97.895191
11,MIGUEL,Col. Reforma,Oaxaca,Huajuapan de León,Reforma,Av. Ermita,17.822826,-97.784944
12,MIGUEL,Tejaltitlán,Oaxaca,San Jerónimo Silacayoapilla,Tejaltitlán,Flores,17.79919,-97.842656
13,MIGUEL,Cerca de la Iglesia san Diego de Alcalá,Oaxaca,Huajuapan de León,Santa María Xochixtlapilco,,17.780684,-97.787974
14,MIGUEL,Col. Santa Rosa 2da Sección,Oaxaca,Huajuapan de León,Santa Rosa 2da Sección,,,
15,MIGUEL,Cerca del Parque Municipal ,Oaxaca,Santiago Ayuquililla,Centro,Porfirio Díaz,17.934752,-97.958497
16,MIGUEL,Antorcha Popular,Oaxaca,Huajuapan de León,Unidad Deportiva Antorcha ,Av. México,17.82941,-97.79
17,MIGUEL,Arroyo Chahue,Oaxaca,Santa María Huatulco,Arroyo Chahue,Bahía Maguey,15.77151,-96.141587
18,MIGUEL,Sector U2 Norte Canchas,Oaxaca,Santa María Huatulco,Sector U2 Norte,,15.785891,-96.141835
19,MIGUEL,"Sector H2, en las Canchas de Basquetbol",Oaxaca,Santa María Huatulco,Sector H2,,15.765435,-96.133454
20,MIGUEL,Frente a la Primaria Sor Juana Ines de la Cruz,Oaxaca,Santa María Tonameca,Cuatode Tonameca,,15.73481,-96.51984
21,MIGUEL,Rancho Parajito,Oaxaca,Santa María Huatulco,Rancho Parajito,,15.793333,-96.135
22,MIGUEL,Centro de Cozoaltepec,Oaxaca,Santa María Tonameca,Santa María Tonameca,,15.745644,-96.545506
23,MIGUEL,Sector U2 Parque,Oaxaca,Santa María Huatulco,Sector U2,,15.779874,-96.140308
24,MIGUEL,Col. Laguna Seca,Oaxaca,Santa María Huatulco,Laguna Seca,,15.794444,-96.128889
25,MIGUEL,Comunidad Piedra de Moros / Arrollo González,Oaxaca,Santa María Huatulco,Piedra de Moros,,15.798409,-96.231115
26,MIGUEL,Comunidad Paso Ancho,Oaxaca,Santa María Huatulco,Paso Ancho,,15.83279,-96.321783
27,MIGUEL,Palotada / Los Ciruelos,Oaxaca,San Pedro Pochutla,Centro,,15.723411,-96.388976
28,MIGUEL,Comunidad Barra de Copalita,Oaxaca,Santa María Huatulco,Barra de Copalita,,15.818744,-96.06109
29,MIGUEL,Cuapinolito,Oaxaca,Santa María Huatulco,Cuapinolito,,15.839973,-96.317019
30,MIGUEL,El Arenoso / El Faisán,Oaxaca,Santa María Huatulco,El Arenoso,,15.7908,-96.191744
31,MIGUEL,Bajos de Coyula/puente Coyula,Oaxaca,Santa María Huatulco,Puente de Coyula,,15.752659,-96.29909
32,MIGUEL,Sector I,Oaxaca,Santa María Huatulco,Sector I,,15.765917,-96.130904
33,MIGUEL,Barra de La Cruz,Oaxaca,Santiago Astata,Barra de La Cruz,,15.839358,-95.970705
34,MIGUEL,Fraccionamiento San Agustin,Oaxaca,Santa María Huatulco,Fraccionamiento San Agustin,,15.761974,-96.274323
35,MIGUEL,Fraccionamiento el Crucero o el Zapote,Oaxaca,Santa María Huatulco,Fraccionamiento el Crucero o el Zapote,,,
36,MIGUEL,Comunidad Barra de Copalita,Oaxaca,Santa María Huatulco,Barra de Copalita,,15.818744,-96.06109
37,MIGUEL,Explanada Municipal de San Martin Cansecos,Oaxaca,San Martin de los Cansecos,San Mateo Rio Hondo,Piedras Negras- San Mateo Rio Hondo,16.656705,-96.727847
38,MIGUEL,San Baltazar Chichicapam,Oaxaca,San Baltazar Chichicapam,centro,Calle Benito Juarez,,
39,MIGUEL,Cerca de la Telesecundaria Jalpan,Oaxaca,San Raymundo Jalpan,San Raymundo Jalpan,Privada de Arista,16.97534,-96.754687
40,MIGUEL,Hidalgo,Oaxaca,Coatecas,Ricardo Flores Magón 3ra sección,Hidalgo,16.54324,-96.673175
41,MIGUEL,Explanada Municipal San Martín Tilcajete,Oaxaca,San Martín Tilcajete,Centro,Progreso,16.860465,-96.69443
42,MIGUEL,Explanada Municipal San Miguel Ejutla,Oaxaca,San Miguel Ejutla,Morelos,Porfirio Díaz,16.577619,-96.735742
43,MIGUEL,Yaxe,Oaxaca,Yaxe,San Baltazar Chichicapam,,16.726129,-96.471358
