ESTADO,MUNICIPIO,RAZÓN SOCIAL,DIRECCIÓN,COORDENADAS,,"HORARIO
",TELEFONO,PÁG WEB,"REDES
FB",CORREO,PET,PEAD,PP (ENVASE),PP (TAPAS),PP (CAPSULAS),PEBD (BOLSA TRANSPARENTE) ,BOPP (LAMINADA),ALUMINIO,HOJALATA,CARTON LAMINADO,VIDRIO
Aguascalientes,Aguascalientes,Centro de Acopio Accion Amigable - Gobierno,"Avenida Universidad 933, Bosques del Prado Sur, CP. 20130
Aguascalientes, Ags.","21.914898
",-102.312486,,,,,,Si,,,,,,,Si,Si,,
Aguascalientes,Aguascalientes,Punto Limpio - Centro Comercial Plaza Universidad,"Avenida Universidad 935, Bosques del Prado Sur CP. 20130
Aguascalientes, Ags.",21.915342,-102.31305,Lunes a Domingo 08:00 am - 03:00 pm,,,,,Si,Si,,,,,,Si,Si,Si,Si
Aguascalientes,Aguascalientes,Héctor Benjamín Gil Guzmán,"Carretera Norias de Ojocaliente 1106 Col. Pistas de Oriente. CP. 20196
Aguascalientes, Ags.",21.8778543932484,-102.235992094104,"Lunes a viernes 07:30 am - 02:30 pm 
Sabado 08:00 - 12:00 pm",449 208 9041,,,hectorgil32@hotmail.com,Si,Si,,,,,,Si,Si,,
Aguascalientes,Aguascalientes,Recicladora Sanchez,"Av. Aguascalientes Pte. 302, Barrio de San Marcos, CP. 20078
Aguascalientes, Ags.","21.878003
",-102.318316,,,,,,Si,,,,,,,Si,Si,,
Aguascalientes,Aguascalientes,Punto Limpio - Mercado Soriana,"Av Siglo XXI 183, Villas de Ntra. Sra. de la Asunción 
Aguascalientes, Ags",21.92694,-102.26643,Lunes a Domingo 08:00 am - 03:00 pm,,,,,Si,Si,,,,,,Si,Si,Si,Si
Aguascalientes,Aguascalientes,Metramex,"Av. Lic Adolfo Ruiz Cortinez 9, Desarrollo Especial el Alba, CP.20329
Aguascalientes, Ags.","21.876583
",-102.343709,,449 976 4735,,,,"$4.5 mixto
$9 cristal", $	2.00 ,,,,,, $	21.00 , $	4.00 ,,
Aguascalientes,Aguascalientes,Punto Limpio - Comercial Mexicana,"Jardines del Sol, CP. 20266
Aguascalientes, Ags.",21.861504,-102.27315,Lunes a Domingo 08:00 am - 03:00 pm,,,,,Si,Si,,,,,,Si,Si,Si,Si
Aguascalientes,Aguascalientes,Punto Limpio - Centro Comercial el Dorado,"Valle Dorado, CP. 20235
Aguascalientes, Ags.",21.861036,-102.30403,Lunes a Domingo 08:00 am - 03:00 pm,,,,,Si,Si,,,,,,Si,Si,Si,Si
Aguascalientes,Aguascalientes,Chatarrera,"Av. Aguascalientes Sur 1041, Casa Blanca, CP. 20266 
Aguascalientes, Ags.",21.859819,-102.27598,,,,,,Si,,,,,,,,,,
Aguascalientes,Aguascalientes,Majose Recicladora S.A de C.V,"Jesús María Romo 121, Cd Industrial, CP. 20290
Aguascalientes, Ags.",21.8314688253123,-102.284263798508,,"449 971 1167
449 200 7190",http://espmajose.weebly.com/nosotros.html,,"maldana@majoserecicladora.com
hpadilla@majoserecicladora.com",Si,,,,,,,,Si,,
Aguascalientes,Aguascalientes,Grupo Ferroso Lira ,"Av. San Gabriel 145-A, El Rocío, CP. 20190
Aguascalientes, Ags.",21.877439,-102.235914,,449 140 0868,http://grupoferrosolira.com/,Grupo Ferroso Lira,ferrolis.ags@hotmail.com,Si,,,,,,,Si,Si,,
Aguascalientes,Aguascalientes,Chatarrera Los Pájaros,"José Guadalupe Posada 833, Barrio de Guadalupe, CP. 20059
Aguascalientes, Ags.",21.885821,-102.307381,,,,,,Si,Si,,,,,,Si,Si,,
Aguascalientes,Aguascalientes,Se compra PET,"Av. Eugenio Benavides 101, Insurgentes, CP. 20287
Aguascalientes, Ags.",21.852931,-102.309285,,,,,,Si,Si,,,,,,Si,Si,,
Aguascalientes,Aguascalientes,Recicladora Valdez,"Av. Aguascalientes Pte. 605, La España, 20210 Aguascalientes, Ags.","21.863640
",-102.317799,,,,,,Si,,,,,,,Si,Si,,
Aguascalientes,Aguascalientes,"Reciclayser, S.A de C.V","Av. Aguascalientes Pte. 704, La España, CP. 20210 
Aguascalientes, Ags.","21.860912
",-102.316669,,449 913 3304,,,reciclayser@gmail.com,Si,,,,,,,,,,
Aguascalientes,Aguascalientes,Recicladora Andrade,"Navarra 114, La España, CP. 20210
Aguascalientes, Ags.","21.862515
",-102.313031,,449 913 3424,,,,Si,,,,,Si,,Si,Si,,
Aguascalientes,Aguascalientes,Centro de acopio Materiales Reciclables,"Av 99-A esquina con Lira, Av. Paseo de La Solidaridad 99-A, La Estrella, CP. 20150
Aguascalientes, Ags.",21.903003,-102.283145,,,,,,Si,,,,,,,Si,Si,,
Aguascalientes,Aguascalientes,Recicladora Valpe,"San Luis Potosi - Aguascalientes 1456, La Hacienda, 20263 Aguascalientes, Ags.",21.863389,-102.232692,"Lunes a viernes 08:00 am - 06:00 pm
Sabado 08:00 am - 02:00 pm",449 974 0457,https://recicladora-valpe.webnode.mx/,Recicladora Valpe,diegovaldezp@hotmail.com,Si,,,,,,,Si,,,
Aguascalientes,Aguascalientes,Punto Limpio - Parque Hidalgo,"Calle J. Refugio Velazco 40, De La Purísima, CP. 20259
Aguascalientes, Ags.",21.880794,-102.28408,Lunes a Domingo 08:00 am - 03:00 pm,,,,,Si,Si,,,,,,Si,Si,Si,Si
Aguascalientes,Aguascalientes,Recyclalo,"Avenida de la Convencion de 1914 Norte, Miravalle, CP. 20040
Aguascalientes, Ags.","21.889211
",-102.312196,,,,,,Si,,,,,Si,,Si,Si,,
Aguascalientes,Aguascalientes,Captadora Progreso,"Av. de la Convención de 1914 Sur 1237, Ojo de Agua, CP.20260
Aguascalientes, Ags.","21.867392
",-102.278830,,449 962 8029,,,,Si,,,,,,,Si,Si,,
Aguascalientes,Aguascalientes,Recyca,"Av. San Francisco de Los Viveros 1607, Ojocaliente CP.20196
Aguascalientes, Ags.","21.883184
",-102.250035,,,,,,Si,Si,,,,,,Si,Si,,
Aguascalientes,Aguascalientes,Punto Limpio - Parque Ojocaliente l,"Cotorinas 13-33, Ojocaliente I, CP. 20190
Aguascalientes, Ags.",21.883724,-102.257300,Lunes a domingo 08:00 am - 03:00 pm,,,,,Si,Si,,,,,,Si,Si,Si,Si
Aguascalientes,Aguascalientes,Punto Limpio - Centro Comercial Plaza San Marcos,"Av. Fundición S / N, Altavista, San Cayetano CP. 20010
Aguascalientes, Ags",21.895800,-102.311260,Lunes a Domingo 08:00 am - 03:00 pm,,,,,Si,Si,,,,,,Si,Si,Si,Si
Aguascalientes,Aguascalientes,Grupo Remex,"Av. Mahatma Gandhi 108, San Pedro, CP. 20280
Aguascalientes, Ags.","21.843141
",-102.293392,,,,,,Si,,,,,,,Si,,,
