ESTADO,MUNICIPIO,RAZÓN SOCIAL,DIRECCIÓN,MAPA,COORDENADAS,,"HORARIO
",TELEFONO,PÁG WEB,"REDES
FB",CORREO,PET,PEAD,PP (ENVASE),PP (TAPAS),PP (CAPSULAS),PEBD (BOLSA TRANSPARENTE) ,BOPP (LAMINADA),ALUMINIO,HOJALATA,CARTON LAMINADO,CARTÓN,VIDRIO,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aguascalientes,Aguascalientes,Centro de Acopio Accion Amigable - Gobierno,"Avenida Universidad 933, Bosques del Prado Sur, CP. 20130
Aguascalientes, Ags.","https://www.google.com/maps/place/Centro+de+Acopio+%22Acci%C3%B3n+Amigable%22/@21.9156545,-102.3131186,13z/data=!4m8!1m2!2m1!1sRecicladora+aguascalientes!3m4!1s0x8429eee2a12cfdb5:0x5dbe2ad79e321a1d!8m2!3d21.9148736!4d-102.3124447","21.914898
",-102.312486,,,,,,Si,,,,,,,Si,Si,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aguascalientes,Aguascalientes,Punto Limpio - Centro Comercial Plaza Universidad,"Avenida Universidad 935, Bosques del Prado Sur CP. 20130
Aguascalientes, Ags.","https://www.google.com/maps/place/21%C2%B054'55.2%22N+102%C2%B018'47.0%22W/@21.915342,-102.3152387,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d21.915342!4d-102.31305",21.915342,-102.31305,Lunes a Domingo 08:00 am - 03:00 pm,,,,,Si,Si,,,,,,Si,Si,Si,Si,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aguascalientes,Aguascalientes,Héctor Benjamín Gil Guzmán,"Carretera Norias de Ojocaliente 1106 Col. Pistas de Oriente. CP. 20196
Aguascalientes, Ags.","21.877854, -102.235992",21.8778543932484,-102.235992094104,"Lunes a viernes de 7:30 a 14:30 
Sabado de 8:00 a 12:00 pm",449 208 9041,,,hectorgil32@hotmail.com,Si,Si,,,,,,Si,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aguascalientes,Aguascalientes,Recicladora Sanchez,"Av. Aguascalientes Pte. 302, Barrio de San Marcos, CP. 20078
Aguascalientes, Ags.","https://www.google.com/maps/place/RECICLADORA+SANCHEZ/@21.8780964,-102.3182339,20z/data=!4m8!1m2!2m1!1sRecicladora+aguascalientes!3m4!1s0x8429ee998570c55b:0x30df9995b0b906b5!8m2!3d21.878055!4d-102.3183179","21.878003
",-102.318316,,,,,,Si,,,,,,,Si,Si,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aguascalientes,Aguascalientes,Punto Limpio - Mercado Soriana,"Av Siglo XXI 183, Villas de Ntra. Sra. de la Asunción 
Aguascalientes, Ags","https://www.google.com/maps/place/21%C2%B055'37.0%22N+102%C2%B015'59.2%22W/@21.9270092,-102.2663409,17z/data=!4m5!3m4!1s0x0:0x0!8m2!3d21.92694!4d-102.26643",21.92694,-102.26643,Lunes a Domingo 08:00 am - 03:00 pm,,,,,Si,Si,,,,,,Si,Si,Si,Si,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aguascalientes,Aguascalientes,Metramex,"Av. Lic Adolfo Ruiz Cortinez 9, Desarrollo Especial el Alba, CP.20329
Aguascalientes, Ags.","https://www.google.com/maps/place/METRAMEX/@21.8764213,-102.3437468,13z/data=!4m8!1m2!2m1!1sRecicladora+aguascalientes!3m4!1s0x0:0xec7922e8b62a2fdb!8m2!3d21.8765733!4d-102.3436761","21.876583
",-102.343709,,449 976 4735,,,,"$4.5 mixto
$9 cristal", $	2.00 ,,,,,, $	21.00 , $	4.00 ,, $	2.20 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aguascalientes,Aguascalientes,Punto Limpio - Comercial Mexicana,"Jardines del Sol, CP. 20266
Aguascalientes, Ags.","https://www.google.com/maps/place/21%C2%B051'41.4%22N+102%C2%B016'23.3%22W/@21.8616395,-102.2736017,17z/data=!4m5!3m4!1s0x0:0x0!8m2!3d21.861504!4d-102.27315",21.861504,-102.27315,Lunes a Domingo 08:00 am - 03:00 pm,,,,,Si,Si,,,,,,Si,Si,Si,Si,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aguascalientes,Aguascalientes,Punto Limpio - Centro Comercial el Dorado,"Valle Dorado, CP. 20235
Aguascalientes, Ags.","https://www.google.com/maps/place/21%C2%B051'39.7%22N+102%C2%B018'14.5%22W/@21.861025,-102.3040893,17z/data=!4m5!3m4!1s0x0:0x0!8m2!3d21.861036!4d-102.30403",21.861036,-102.30403,Lunes a Domingo 08:00 am - 03:00 pm,,,,,Si,Si,,,,,,Si,Si,Si,Si,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aguascalientes,Aguascalientes,Chatarrera,"Av. Aguascalientes Sur 1041, Casa Blanca, CP. 20266 
Aguascalientes, Ags.","https://www.google.com/maps/place/Chatarrera/@21.8599107,-102.276058,17z/data=!4m8!1m2!2m1!1sRecicladora+aguascalientes!3m4!1s0x0:0x2c6bfbad8922c0e!8m2!3d21.8598091!4d-102.2759691",21.859819,-102.27598,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aguascalientes,Aguascalientes,Recolector y Manejo de Desperdicios,"Jesús María Romo 119, Cd Industrial, CP. 20290
Aguascalientes, Ags.","https://www.google.com/maps/place/Recolector+y+Manejo+de+Desperd%C3%ADcios/@21.8314647,-102.2847916,13z/data=!4m8!1m2!2m1!1sRecicladora+aguascalientes!3m4!1s0x8429eda43f9707e9:0x88b53b495c849b0c!8m2!3d21.8314451!4d-102.284964","21.831504
",-102.284985,,449 971 1065,,,,,,,,,,, $	22.00 ,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
