id_estado,id_municipio,Municipio,,,,
24,1,Ahualulco,,,,
24,2,Alaquines,,,,
24,3,Aquismón,,,,
24,4,Armadillo de los Infante,,,,
24,5,Cárdenas,,,,
24,6,Catorce,,,,
24,7,Cedral,,,,
24,8,Cerritos,,,,
24,9,Cerro de San Pedro,,,,
24,10,Ciudad del Maíz,,,,
24,11,Ciudad Fernández,,,,
24,12,Tancanhuitz,,,,
24,13,Ciudad Valles,,,,
24,14,Coxcatlán,,,,
24,15,Charcas,,,,
24,16,Ebano,,,,
24,17,Guadalcázar,,,,
24,18,Huehuetlán,,,,
24,19,Lagunillas,,,,
24,20,Matehuala,,,,
24,21,Mexquitic de Carmona,,,,
24,22,Moctezuma,,,,
24,23,Rayón,,,,
24,24,Rioverde,,,,
24,25,Salinas,,,,
24,26,San Antonio,,,,
24,27,San Ciro de Acosta,,,,
24,28,San Luis Potosí,,,,
24,29,San Martín Chalchicuautla,,,,
24,30,San Nicolás Tolentino,,,,
24,31,Santa Catarina,,,,
24,32,Santa María del Río,,,,
24,33,Santo Domingo,,,,
24,34,San Vicente Tancuayalab,,,,
24,35,Soledad de Graciano Sánchez,,,,
24,36,Tamasopo,,,,
24,37,Tamazunchale,,,,
24,38,Tampacán,,,,
24,39,Tampamolón Corona,,,,
24,40,Tamuín,,,,
24,41,Tanlajás,,,,
24,42,Tanquián de Escobedo,,,,
24,43,Tierra Nueva,,,,
24,44,Vanegas,,,,
24,45,Venado,,,,
24,46,Villa de Arriaga,,,,
24,47,Villa de Guadalupe,,,,
24,48,Villa de la Paz,,,,
24,49,Villa de Ramos,,,,
24,50,Villa de Reyes,,,,
24,51,Villa Hidalgo,,,,
24,52,Villa Juárez,,,,
24,53,Axtla de Terrazas,,,,
24,54,Xilitla,,,,
24,55,Zaragoza,,,,
24,56,Villa de Arista,,,,
24,57,Matlapa,,,,
24,58,El Naranjo,,,,
