id_estado,id_municipio,Municipio,,,,
28,1,Abasolo,,,,
28,2,Aldama,,,,
28,3,Altamira,,,,
28,4,Antiguo Morelos,,,,
28,5,Burgos,,,,
28,6,Bustamante,,,,
28,7,Camargo,,,,
28,8,Casas,,,,
28,9,Ciudad Madero,,,,
28,10,Cruillas,,,,
28,11,Gómez Farías,,,,
28,12,González,,,,
28,13,Güémez,,,,
28,14,Guerrero,,,,
28,15,Gustavo Díaz Ordaz,,,,
28,16,Hidalgo,,,,
28,17,Jaumave,,,,
28,18,Jiménez,,,,
28,19,Llera,,,,
28,20,Mainero,,,,
28,21,El Mante,,,,
28,22,Matamoros,,,,
28,23,Méndez,,,,
28,24,Mier,,,,
28,25,Miguel Alemán,,,,
28,26,Miquihuana,,,,
28,27,Nuevo Laredo,,,,
28,28,Nuevo Morelos,,,,
28,29,Ocampo,,,,
28,30,Padilla,,,,
28,31,Palmillas,,,,
28,32,Reynosa,,,,
28,33,Río Bravo,,,,
28,34,San Carlos,,,,
28,35,San Fernando,,,,
28,36,San Nicolás,,,,
28,37,Soto la Marina,,,,
28,38,Tampico,,,,
28,39,Tula,,,,
28,40,Valle Hermoso,,,,
28,41,Victoria,,,,
28,42,Villagrán,,,,
28,43,Xicoténcatl,,,,
