id_estado,id_municipio,Municipio,,,,
32,1,Apozol,,,,
32,2,Apulco,,,,
32,3,Atolinga,,,,
32,4,Benito Juárez,,,,
32,5,Calera,,,,
32,6,Cañitas de Felipe Pescador,,,,
32,7,Concepción del Oro,,,,
32,8,Cuauhtémoc,,,,
32,9,Chalchihuites,,,,
32,10,Fresnillo,,,,
32,11,Trinidad García de la Cadena,,,,
32,12,Genaro Codina,,,,
32,13,General Enrique Estrada,,,,
32,14,General Francisco R. Murguía,,,,
32,15,El Plateado de Joaquín Amaro,,,,
32,16,General Pánfilo Natera,,,,
32,17,Guadalupe,,,,
32,18,Huanusco,,,,
32,19,Jalpa,,,,
32,20,Jerez,,,,
32,21,Jiménez del Teul,,,,
32,22,Juan Aldama,,,,
32,23,Juchipila,,,,
32,24,Loreto,,,,
32,25,Luis Moya,,,,
32,26,Mazapil,,,,
32,27,Melchor Ocampo,,,,
32,28,Mezquital del Oro,,,,
32,29,Miguel Auza,,,,
32,30,Momax,,,,
32,31,Monte Escobedo,,,,
32,32,Morelos,,,,
32,33,Moyahua de Estrada,,,,
32,34,Nochistlán de Mejía,,,,
32,35,Noria de Ángeles,,,,
32,36,Ojocaliente,,,,
32,37,Pánuco,,,,
32,38,Pinos,,,,
32,39,Río Grande,,,,
32,40,Sain Alto,,,,
32,41,El Salvador,,,,
32,42,Sombrerete,,,,
32,43,Susticacán,,,,
32,44,Tabasco,,,,
32,45,Tepechitlán,,,,
32,46,Tepetongo,,,,
32,47,Teúl de González Ortega,,,,
32,48,Tlaltenango de Sánchez Román,,,,
32,49,Valparaíso,,,,
32,50,Vetagrande,,,,
32,51,Villa de Cos,,,,
32,52,Villa García,,,,
32,53,Villa González Ortega,,,,
32,54,Villa Hidalgo,,,,
32,55,Villanueva,,,,
32,56,Zacatecas,,,,
32,57,Trancoso,,,,
32,58,Santa María de la Paz,,,,
